query,expected_id
"What is Nimble used for?","273ba145-bbcf-8696-3dde-3da902f76e98"
"How do I add someone who belongs to a company that already exists in Nimble?","76b23d87-e22c-ddab-b300-2061a7815b56"
"What should I do if a person's company is not yet in Nimble?","76b23d87-e22c-ddab-b300-2061a7815b56"
"When should an inquiry be saved as a contact in Nimble?","0e30382f-39cc-f84d-cd37-4534f77a10fb"
"What tags should I add to someone who contacts Halluli with a program inquiry?","0e30382f-39cc-f84d-cd37-4534f77a10fb"
"What should be done after adding an inquirer as a contact?","0e30382f-39cc-f84d-cd37-4534f77a10fb"
"What tags should a new person usually get in Nimble?","8aec1592-714c-5e0b-5aeb-d0990df47080"
"How do I set a stay-in-touch reminder for a contact in Nimble?","8aec1592-714c-5e0b-5aeb-d0990df47080"
"What information should be added when creating a new organization in Nimble?","24e5e255-8ec3-04f8-f843-698e27a2f3e7"
"How can I associate a person with an organization in Nimble?","24e5e255-8ec3-04f8-f843-698e27a2f3e7"
"Where should phone calls and outreach activities be tracked in Nimble?","80a864bf-79b7-6a00-3d38-156eb005862c"
"How do I create a new outreach task in Nimble?","14412f2f-5032-c0fa-adff-cf3cd168271d"